iter	Logloss
0	0.6787915295
1	0.6667150093
2	0.6552513342
3	0.6431711812
4	0.632015459
5	0.6211036058
6	0.6107327545
7	0.601160924
8	0.5906509817
9	0.5816773232
10	0.5737770473
11	0.5658039172
12	0.5583586
13	0.5523232797
14	0.5460947117
15	0.5396416893
16	0.5348923756
17	0.5286292615
18	0.5232585877
19	0.5173150623
20	0.5129921625
21	0.5083326943
22	0.5037991274
23	0.4995112765
24	0.4954733496
25	0.4919316079
26	0.4887022465
27	0.4857605755
28	0.4828082437
29	0.4799733223
30	0.4768155759
31	0.4740469763
32	0.4714709174
33	0.4688752091
34	0.4660729498
35	0.4639621353
36	0.4613740392
37	0.4594685757
38	0.4570468831
39	0.454612443
40	0.4524308831
41	0.4501960012
42	0.4483985586
43	0.446735675
44	0.4453244679
45	0.4438013732
46	0.442478481
47	0.4410645996
48	0.4393899741
49	0.4382267656
50	0.4370971139
51	0.4359362455
52	0.4348115648
53	0.4334995571
54	0.4326593147
55	0.431451571
56	0.4305160014
57	0.4296156717
58	0.4286905886
59	0.4274413752
60	0.4267325532
61	0.4255805992
62	0.4247580404
63	0.4238185443
64	0.4229390038
65	0.4222140642
66	0.4215073173
67	0.4207685019
68	0.4202052333
69	0.419513022
70	0.4186025612
71	0.4179174434
72	0.4174487379
73	0.416758099
74	0.4161797452
75	0.4155075283
76	0.4150470722
77	0.414616104
78	0.4141327017
79	0.4136397727
80	0.4131078812
81	0.4125699111
82	0.4121661698
83	0.4116728184
84	0.4111080641
85	0.4105784215
86	0.4100047577
87	0.4095132594
88	0.4091222571
89	0.4087239552
90	0.4083389101
91	0.4079483863
92	0.4073096659
93	0.4067811917
94	0.4063699497
95	0.4060157633
96	0.4054575711
97	0.4049751314
98	0.4047050112
99	0.4043174773
100	0.4039288135
101	0.4035493394
102	0.4031092794
103	0.4026898996
104	0.4023021654
105	0.4020795684
106	0.4017461629
107	0.4014300037
108	0.4010529556
109	0.4007195763
110	0.4003921629
111	0.4000794807
112	0.3997135112
113	0.3993332889
114	0.3991554854
115	0.3987774688
116	0.3985512042
117	0.3982324334
118	0.3979731291
119	0.3976809481
120	0.3973833337
121	0.396883795
122	0.3966522372
123	0.396448867
124	0.3962256749
125	0.3959520537
126	0.3958225351
127	0.3956632435
128	0.3954686878
129	0.395268869
130	0.3949785158
131	0.3946168076
132	0.3942937891
133	0.3941138417
134	0.3940170675
135	0.3936984087
136	0.3935490815
137	0.3932801619
138	0.3931150125
139	0.3928812151
140	0.3926316723
141	0.3925173042
142	0.3923303651
143	0.3921122534
144	0.3918807961
145	0.3917360781
146	0.3916223388
147	0.3914907081
148	0.3913388163
149	0.3912276639
150	0.3909417865
151	0.3907316232
152	0.3905673192
153	0.3903884851
154	0.3902493417
155	0.3901029647
156	0.3899909125
157	0.3897603693
158	0.3896613462
159	0.3894665812
160	0.3892498868
161	0.389019562
162	0.3888721494
163	0.3886867158
164	0.3885224611
165	0.3883346587
166	0.3881159224
167	0.3879652628
168	0.3877722719
169	0.3875999168
170	0.3873862109
171	0.3872644642
172	0.3871132123
173	0.3869839664
174	0.386812561
175	0.3866189553
176	0.3863551385
177	0.3863181892
178	0.3861232807
179	0.385992496
180	0.3858600574
181	0.3857595245
182	0.3855255696
183	0.3852938779
184	0.385124947
185	0.38498844
186	0.3847517149
187	0.384554697
188	0.3844031945
189	0.384283233
190	0.3841341867
191	0.3841102162
192	0.3839550702
193	0.3838257444
194	0.3837269967
195	0.3835920617
196	0.3834409767
197	0.383295672
198	0.3831966841
199	0.3830624228
200	0.3829613325
201	0.3828441791
202	0.3826898496
203	0.3825831693
204	0.3823599109
205	0.382200365
206	0.3821101425
207	0.3819242126
208	0.3817356269
209	0.3815707319
210	0.3815055772
211	0.3813858744
212	0.3812844858
213	0.3811302162
214	0.3810530544
215	0.3809723861
216	0.3807497118
217	0.3806021021
218	0.3804514416
219	0.3803212963
220	0.3801476542
221	0.3798706718
222	0.3798258015
223	0.3797057859
224	0.379556856
225	0.3794539928
226	0.3793551567
227	0.3792414355
228	0.3790762158
229	0.3789040529
230	0.3787017725
231	0.3785672985
232	0.3783907191
233	0.3782945477
234	0.3780495767
235	0.3779284497
236	0.3778264727
237	0.3776836152
238	0.3775250168
239	0.3773619154
240	0.3771825147
241	0.3770024278
242	0.37684738
243	0.3766977281
244	0.3765865398
245	0.3764443192
246	0.3763354447
247	0.3762571546
248	0.3761231273
249	0.3759287526
250	0.3757376852
251	0.3756617173
252	0.3755705484
253	0.3754803663
254	0.3753998844
255	0.3752480879
256	0.3751297111
257	0.375033419
258	0.3748772882
259	0.3747532787
260	0.3745559993
261	0.3744073923
262	0.374330681
263	0.3741803273
264	0.374000284
265	0.3738649029
266	0.3737831064
267	0.3737697295
268	0.3736901262
269	0.3735121219
270	0.3734383968
271	0.3733006195
272	0.3731063484
273	0.3730383059
274	0.3728919571
275	0.3727971088
276	0.3726402585
277	0.3725324837
278	0.372378801
279	0.3723155559
280	0.3723148126
281	0.3722068175
282	0.3721061988
283	0.3720089459
284	0.3719076146
285	0.3717840825
286	0.3717669781
287	0.3715730445
288	0.3714865689
289	0.3714289417
290	0.3713453689
291	0.3711985292
292	0.3710621267
293	0.3709505712
294	0.3709014496
295	0.3707285988
296	0.370632075
297	0.3705644766
298	0.3704430389
299	0.3703176996
300	0.3702298038
301	0.3701013718
302	0.3700081186
303	0.3699260989
304	0.3697842623
305	0.3696675389
306	0.36956522
307	0.3695070664
308	0.3693667501
309	0.3692638322
310	0.3691706848
311	0.3689648241
312	0.3687919351
313	0.3686628371
314	0.3685052635
315	0.3683604434
316	0.3681883173
317	0.3679648262
318	0.3678433057
319	0.3677130194
320	0.3675899117
321	0.367432686
322	0.3673464174
323	0.3672586915
324	0.3671671334
325	0.3670125913
326	0.3669097445
327	0.3667468217
328	0.3665244161
329	0.3663175813
330	0.3661664773
331	0.3660310927
332	0.3659250542
333	0.3658194912
334	0.3655596617
335	0.365446999
336	0.3653385576
337	0.3652139981
338	0.3650281637
339	0.3647761681
340	0.3646604793
341	0.3645082108
342	0.3644345699
343	0.3643416636
344	0.364203719
345	0.364100387
346	0.3639963775
347	0.3637991311
348	0.3636430488
349	0.3635938325
350	0.3635051895
351	0.3633544122
352	0.3632605227
353	0.3631314954
354	0.3630916455
355	0.3629875793
356	0.3628286906
357	0.3627412584
358	0.3626117381
359	0.3624796559
360	0.3623023681
361	0.3622060977
362	0.3620184752
363	0.3618494321
364	0.3617479724
365	0.3615726644
366	0.3614394924
367	0.3613017329
368	0.3611867692
369	0.3610237665
370	0.3608925227
371	0.3608189544
