iter	Passed	Remaining
0	155	155445
1	160	80301
2	165	55111
3	170	42515
4	176	35036
5	181	29993
6	185	26279
7	189	23446
8	193	21261
9	197	19512
10	201	18081
11	205	16923
12	210	15968
13	214	15132
14	219	14400
15	223	13751
16	226	13122
17	230	12600
18	235	12157
19	239	11746
20	244	11377
21	248	11048
22	257	10952
23	261	10639
24	265	10353
25	269	10097
26	273	9859
27	277	9639
28	282	9448
29	286	9250
30	290	9085
31	295	8925
32	299	8775
33	304	8637
34	308	8502
35	312	8379
36	317	8259
37	321	8150
38	326	8040
39	330	7931
40	335	7846
41	340	7761
42	345	7681
43	349	7601
44	354	7528
45	359	7457
46	364	7398
47	369	7333
48	373	7258
49	379	7203
50	384	7160
51	389	7107
52	394	7055
53	399	6996
54	404	6949
55	409	6904
56	414	6862
57	419	6820
58	425	6783
59	429	6734
60	434	6687
61	439	6643
62	444	6608
63	449	6568
64	453	6526
65	458	6486
66	463	6447
67	467	6405
68	472	6369
69	477	6348
70	482	6316
71	486	6272
72	490	6228
73	495	6196
74	499	6161
75	503	6124
76	507	6087
77	513	6068
78	517	6035
79	521	6002
80	528	5996
81	532	5965
82	537	5934
83	541	5902
84	546	5883
85	550	5852
86	554	5824
87	560	5804
88	564	5779
89	569	5757
90	575	5750
91	580	5730
92	585	5708
93	590	5687
94	595	5676
95	600	5658
96	605	5633
97	610	5618
98	614	5593
99	619	5571
100	624	5554
101	628	5530
102	632	5508
103	636	5485
104	642	5473
105	646	5451
106	650	5429
107	655	5415
108	660	5395
109	664	5375
110	668	5355
111	673	5342
112	678	5323
113	682	5302
114	686	5282
115	691	5269
116	695	5250
117	699	5231
118	704	5219
119	709	5201
120	713	5181
121	717	5164
122	723	5155
123	727	5138
124	731	5121
125	736	5109
126	740	5093
127	745	5076
128	749	5059
129	755	5054
130	759	5039
131	764	5024
132	769	5016
133	773	5000
134	776	4975
135	780	4959
136	787	4958
137	791	4944
138	795	4927
139	799	4912
140	804	4903
141	808	4886
142	812	4870
143	817	4859
144	821	4845
145	826	4832
146	830	4818
147	836	4813
148	840	4799
149	844	4785
150	849	4777
151	854	4764
152	858	4752
153	862	4739
154	868	4732
155	872	4720
156	876	4707
157	881	4698
158	886	4687
159	890	4675
160	894	4662
161	900	4658
162	904	4646
163	909	4633
164	913	4624
165	918	4613
166	922	4601
167	926	4590
168	932	4586
169	937	4575
170	941	4563
171	946	4556
172	950	4545
173	955	4533
174	959	4523
175	965	4519
176	969	4508
177	972	4490
178	976	4479
179	982	4474
180	986	4463
181	990	4452
182	995	4445
183	999	4434
184	1004	4423
185	1008	4413
186	1013	4408
187	1017	4396
188	1021	4384
189	1026	4375
190	1030	4366
191	1033	4350
192	1037	4339
193	1044	4337
194	1048	4327
195	1052	4318
196	1057	4310
197	1062	4305
198	1067	4295
199	1071	4285
200	1077	4281
201	1081	4271
202	1085	4261
203	1089	4251
204	1094	4246
205	1098	4235
206	1102	4224
207	1107	4218
208	1111	4207
209	1115	4197
210	1120	4188
211	1125	4183
212	1129	4173
213	1133	4164
214	1138	4156
215	1143	4150
216	1147	4140
217	1151	4129
218	1156	4122
219	1160	4113
220	1164	4103
221	1168	4093
222	1171	4083
223	1176	4075
224	1180	4065
225	1185	4058
226	1191	4056
227	1195	4047
228	1199	4039
229	1204	4033
230	1209	4025
231	1213	4017
232	1218	4009
233	1223	4004
234	1227	3996
235	1231	3987
236	1236	3980
237	1240	3972
238	1245	3964
239	1249	3956
240	1254	3951
241	1259	3944
242	1263	3936
243	1268	3931
244	1272	3922
245	1277	3914
246	1281	3905
247	1285	3897
248	1289	3889
249	1293	3880
250	1297	3872
251	1301	3864
252	1306	3856
253	1310	3848
254	1314	3839
255	1318	3831
256	1322	3822
257	1326	3813
258	1330	3806
259	1334	3797
260	1338	3789
261	1342	3780
262	1346	3772
263	1349	3763
264	1353	3755
265	1357	3746
266	1361	3737
267	1363	3725
268	1367	3716
269	1371	3708
270	1375	3699
271	1379	3691
272	1383	3683
273	1387	3675
274	1390	3666
275	1394	3658
276	1398	3650
277	1402	3642
278	1406	3634
279	1410	3626
280	1412	3614
281	1416	3606
282	1420	3598
283	1424	3591
284	1428	3583
285	1432	3575
286	1434	3564
287	1438	3557
288	1443	3550
289	1447	3543
290	1451	3536
291	1455	3529
292	1460	3523
293	1464	3516
294	1467	3507
295	1471	3500
296	1475	3492
297	1479	3484
298	1483	3478
299	1487	3471
300	1491	3464
301	1496	3457
302	1500	3450
303	1503	3443
304	1507	3435
305	1511	3428
306	1515	3421
307	1519	3413
308	1523	3407
309	1528	3401
310	1532	3394
311	1536	3387
312	1540	3380
313	1544	3373
314	1549	3368
315	1554	3365
316	1558	3358
317	1562	3351
318	1566	3344
319	1570	3337
320	1575	3332
321	1581	3330
322	1585	3324
323	1591	3320
324	1596	3316
325	1601	3311
326	1606	3305
327	1611	3300
